YearMonth,total_orders,on_time_orders,late_orders,avg_delay_days,avg_delivery,total_revenue,avg_review,on_time_rate_pct,late_rate_pct
2016-09,1,0,1,36.0,54.0,134.97,1.0,0.0,100.0
2016-10,265,263,2,-36.7,19.1,40325.11,4.01,99.2,0.8
2016-12,1,1,0,-22.0,4.0,10.9,5.0,100.0,0.0
2017-01,750,728,22,-27.4,12.1,111798.36,4.2,97.1,2.9
2017-02,1651,1604,47,-19.4,12.4,233958.6,4.2,97.2,2.8
2017-03,2537,2430,107,-12.9,11.8,357262.62,4.19,95.8,4.2
2017-04,2303,2152,151,-13.0,14.4,340669.68,4.14,93.4,6.6
2017-05,3540,3435,105,-13.5,10.7,488477.73,4.24,97.0,3.0
2017-06,3134,3039,95,-12.6,11.5,421583.38,4.22,97.0,3.0
2017-07,3871,3763,108,-12.5,11.1,481422.52,4.26,97.2,2.8
2017-08,4193,4071,122,-13.1,10.7,554699.7,4.31,97.1,2.9
2017-09,4150,3968,182,-11.3,11.4,607399.67,4.27,95.6,4.4
2017-10,4478,4291,187,-11.9,11.4,648247.65,4.21,95.8,4.2
2017-11,7287,6383,904,-8.1,14.7,987549.07,3.99,87.6,12.4
2017-12,5513,5102,411,-13.0,14.9,726033.19,4.09,92.5,7.5
2018-01,7068,6666,402,-13.0,13.6,924246.0,4.11,94.3,5.7
2018-02,6553,5628,925,-8.3,16.5,826112.65,3.88,85.9,14.1
2018-03,7003,5675,1328,-6.4,15.9,953356.25,3.81,81.0,19.0
2018-04,6798,6492,306,-12.9,11.0,973534.09,4.21,95.5,4.5
2018-05,6747,6304,443,-12.2,11.0,977464.7,4.24,93.4,6.6
2018-06,6093,6022,71,-19.2,8.8,854905.04,4.31,98.8,1.2
2018-07,6156,5948,208,-11.4,8.5,867486.47,4.32,96.6,3.4
2018-08,6351,5958,393,-8.2,7.3,838576.64,4.31,93.8,6.2
