YearMonth,total_orders,on_time_orders,late_orders,on_time_rate_pct,avg_delay_days,total_revenue,avg_review_score,prev_month_orders,MoM_order_growth_pct
2016-09,1,0,1,0.0,36.0,134.97,1.0,,
2016-10,265,263,2,99.2,-36.7,40325.11,4.01,1.0,26400.0
2016-12,1,1,0,100.0,-22.0,10.9,5.0,265.0,-99.6
2017-01,750,728,22,97.1,-27.4,111798.36,4.2,1.0,74900.0
2017-02,1651,1604,47,97.2,-19.4,233958.6,4.2,750.0,120.1
2017-03,2537,2430,107,95.8,-12.9,357262.62,4.19,1651.0,53.7
2017-04,2303,2152,151,93.4,-13.0,340669.68,4.14,2537.0,-9.2
2017-05,3540,3435,105,97.0,-13.5,488477.73,4.24,2303.0,53.7
2017-06,3134,3039,95,97.0,-12.6,421583.38,4.22,3540.0,-11.5
2017-07,3871,3763,108,97.2,-12.5,481422.52,4.26,3134.0,23.5
2017-08,4193,4071,122,97.1,-13.1,554699.7,4.31,3871.0,8.3
2017-09,4150,3968,182,95.6,-11.3,607399.67,4.27,4193.0,-1.0
2017-10,4478,4291,187,95.8,-11.9,648247.65,4.21,4150.0,7.9
2017-11,7287,6383,904,87.6,-8.1,987549.07,3.99,4478.0,62.7
2017-12,5513,5102,411,92.5,-13.0,726033.19,4.09,7287.0,-24.3
2018-01,7068,6666,402,94.3,-13.0,924246.0,4.11,5513.0,28.2
2018-02,6553,5628,925,85.9,-8.3,826112.65,3.88,7068.0,-7.3
2018-03,7003,5675,1328,81.0,-6.4,953356.25,3.81,6553.0,6.9
2018-04,6798,6492,306,95.5,-12.9,973534.09,4.21,7003.0,-2.9
2018-05,6747,6304,443,93.4,-12.2,977464.7,4.24,6798.0,-0.8
2018-06,6093,6022,71,98.8,-19.2,854905.04,4.31,6747.0,-9.7
2018-07,6156,5948,208,96.6,-11.4,867486.47,4.32,6093.0,1.0
2018-08,6351,5958,393,93.8,-8.2,838576.64,4.31,6156.0,3.2
