customer_state,total_orders,late_orders,sla_breach_rate_pct,on_time_rate_pct,avg_delivery_days,avg_delay_days,avg_review_score,total_revenue,breach_rank
AL,397,85,21.4,78.6,24.0,-8.7,3.85,78855.72,1
MA,717,125,17.4,82.6,21.1,-9.6,3.83,117009.38,2
SE,333,49,14.7,85.3,20.0,-11.1,3.92,56111.39,3
CE,1279,176,13.8,86.2,20.8,-10.8,3.94,219757.38,4
PI,474,64,13.5,86.5,18.3,-12.0,3.99,84249.77,5
RR,41,5,12.2,87.8,29.0,-17.3,3.9,7057.47,6
BA,3255,396,12.2,87.8,18.9,-10.8,3.93,492984.2,7
RJ,12348,1494,12.1,87.9,14.8,-11.8,3.97,1759166.15,8
PA,945,105,11.1,88.9,23.1,-14.3,3.91,174310.69,9
ES,1994,213,10.7,89.3,15.2,-10.6,4.08,268413.55,10
PB,517,54,10.4,89.6,20.0,-13.3,4.08,112586.82,11
TO,274,27,9.9,90.1,17.2,-12.1,4.15,48402.51,12
MS,701,68,9.7,90.3,15.2,-11.1,4.16,115429.97,13
PE,1593,153,9.6,90.4,18.0,-13.3,4.08,251889.49,14
RN,474,44,9.3,90.7,18.8,-13.6,4.15,82105.66,15
SC,3546,291,8.2,91.8,14.5,-11.5,4.13,507012.13,16
GO,1956,127,6.5,93.5,15.1,-12.3,4.11,282801.8,17
RS,5342,323,6.0,94.0,14.8,-14.0,4.19,728247.05,18
MT,886,53,6.0,94.0,17.6,-14.4,4.15,152191.62,19
DF,2080,118,5.7,94.3,12.5,-12.0,4.13,296498.41,20
MG,11353,518,4.6,95.4,11.5,-13.3,4.19,1551994.83,21
SP,40481,1818,4.5,95.5,8.3,-11.1,4.25,5065166.91,22
PR,4923,199,4.0,96.0,11.5,-13.3,4.24,666063.51,23
AC,80,3,3.8,96.3,20.6,-20.7,4.09,15930.97,24
RO,243,7,2.9,97.1,18.9,-20.1,4.17,45682.76,25
AM,145,4,2.8,97.2,26.0,-19.6,4.24,22155.84,26
AP,66,1,1.5,98.5,24.3,-22.2,4.23,13179.01,27
