seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct,avg_delay_days,composite_score,performance_tier,perf_rank,perf_quartile
53243585a1d6dc2643021fd1853d8905,BA,348,217940.44,4.19,3.4,-11.5,87.6,Elite,1,1
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1117,227948.34,4.16,10.6,-11.1,83.8,Elite,2,1
7e93a43ef30c4f03f38b393420bc753a,SP,317,165325.02,4.38,4.4,-12.7,83.3,Elite,3,1
fa1c13f2614d7b5c4749cbc52fecda94,SP,571,190179.81,4.39,9.3,-10.3,83.1,Elite,4,1
da8622b14eb17ae2831f4ac5b9dab84a,SP,1295,160976.27,4.19,6.7,-10.9,79.2,Elite,5,1
7a67c85e85bb2ce8582c35f2203ad736,SP,1134,140456.14,4.3,5.2,-12.0,79.2,Elite,5,1
4a3ca9315b744ce9f8e9374361493884,SP,1726,198108.39,3.89,10.0,-9.4,77.8,Elite,7,1
955fee9216a65b617aa5c0531780ce60,SP,1255,131943.4,4.21,6.1,-10.2,76.7,Elite,8,1
46dc3b2cc0980fb8ec44634e21d2718e,RJ,500,122116.11,4.29,5.8,-12.1,76.7,Elite,8,1
e882b2a25a10b9c057cc49695f222c19,RJ,57,51057.54,4.58,0.0,-19.1,75.8,Elite,10,1
2addf05f476d0637864454e93ba673d5,DF,12,4552.0,5.0,0.0,-15.1,75.5,Elite,11,1
48efc9d94a9834137efd9ea76b065a38,PR,33,345.6,5.0,0.0,-24.5,75.0,Elite,12,1
b1fecf4da1fa2689bccffa0121953643,MS,19,3669.64,4.95,0.0,-21.7,74.8,Good,13,1
a1043bafd471dff536d0c462352beb48,MG,699,99676.47,4.28,5.0,-12.4,74.6,Good,14,1
41c2bad7229b0c25e6becf179ebf63ff,RN,20,782.0,4.95,0.0,-16.0,74.5,Good,15,1
de0c78824586e9a5f5f04fd84e25df39,SP,13,2283.3,4.92,0.0,-20.0,74.3,Good,16,1
2d518637f53161b973e01f56ea4bb88e,SP,13,1219.89,4.92,0.0,-21.6,74.2,Good,17,1
334cab711dee080b079fa5779b584783,SP,11,1319.1,4.91,0.0,-13.5,74.1,Good,18,1
1025f0e2d44d7041d6cf58b6550e0bfa,SP,898,138739.25,4.02,8.0,-10.8,74.1,Good,18,1
788e857f317e53de488d393e65a80f45,SP,11,1210.0,4.91,0.0,-13.8,74.1,Good,18,1
d4910f1cdcfdabd48d6b316e395d4a23,SP,11,1146.88,4.91,0.0,-9.0,74.1,Good,18,1
9d681c7e12db302cb261e721040dde65,PR,13,785.6,4.92,0.0,-14.5,74.1,Good,18,1
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,720,112623.7,4.31,8.8,-13.7,74.0,Good,23,1
e627629ba868740e287800f1a9be81c2,SP,10,317.2,4.9,0.0,-11.5,73.9,Good,24,1
2f4b0d3b9634b647d4edee577d7ebb7e,SP,10,337.9,4.9,0.0,-8.5,73.9,Good,24,1
b410bdd36d5db7a65dcd42b7ead933b8,GO,42,7368.9,4.81,0.0,-15.5,73.6,Good,26,1
6560211a19b47992c3666cc44a7e94c0,SP,1808,121532.09,3.99,5.3,-11.5,73.5,Good,27,1
21e83881401b92b49fb09a16d3852291,MG,12,3109.06,4.83,0.0,-13.6,73.4,Good,28,1
cc419e0650a3c5ba77189a1882b7556a,SP,1648,102160.89,4.16,5.3,-13.0,73.3,Good,29,1
42fa4ee7240e9b8eb4576358ec142ba7,RS,22,3935.6,4.81,0.0,-15.7,73.2,Good,30,1
30a81d8cf85fb2ada1b1b094c9583a95,SP,17,1245.42,4.82,0.0,-8.2,73.1,Good,31,1
c3cfdc648177fdbbbb35635a37472c53,PR,273,42455.58,4.51,1.5,-16.1,73.1,Good,31,1
b080809eaacb49e5ca07290981472431,MG,11,424.0,4.82,0.0,-10.4,73.0,Good,33,1
257e61d3251fb5efb9daadddbc2cf7ca,PR,12,7729.0,4.75,0.0,-17.7,73.0,Good,33,1
d4f117125b59ce73c3302f88ee40c458,SP,17,783.29,4.82,0.0,-11.7,73.0,Good,33,1
52562a9f449c3dc3d53f5f5b9ed74903,RN,14,3266.6,4.79,0.0,-18.4,72.9,Good,36,1
54583ab379489add547fe47b628db589,SP,10,2240.0,4.8,0.0,-6.2,72.9,Good,36,1
0ff83046c3fa22efee8ecf291888b191,RS,10,768.9,4.8,0.0,-17.7,72.8,Good,38,1
5f26c1408a65b42a7224cd463bdf3292,PR,10,1139.8,4.8,0.0,-15.4,72.8,Good,38,1
aac51c486b672a9850d59f3e84b1cf88,SP,10,728.28,4.8,0.0,-8.5,72.8,Good,38,1
