customer_state,breach_Q1_2017,breach_Q2_2017,breach_Q3_2017,breach_Q4_2017,breach_Q1_2018,breach_Q2_2018,total_orders,overall_breach_pct
AL,12.5,22.8,35.3,10.6,34.4,12.9,397,21.4
MA,12.8,1.4,4.3,31.9,29.6,10.9,717,17.4
SE,2.8,12.5,8.3,23.5,27.5,17.4,333,14.7
CE,21.3,4.1,1.5,14.7,35.0,12.9,1279,13.8
PI,3.6,0.0,3.2,23.4,19.5,20.4,474,13.5
RR,25.0,0.0,0.0,40.0,11.1,12.5,41,12.2
BA,7.7,7.8,8.6,12.9,19.2,15.1,3255,12.2
RJ,3.9,4.0,3.8,20.2,27.3,4.5,12348,12.1
PA,2.9,2.8,6.0,9.5,24.4,15.6,945,11.1
ES,2.3,4.7,4.1,12.2,20.4,12.2,1994,10.7
PB,6.9,10.2,19.4,9.8,11.4,9.4,517,10.4
TO,0.0,5.3,0.0,6.8,25.0,9.4,274,9.9
MS,0.0,1.5,0.0,7.2,20.4,5.9,701,9.7
PE,4.6,4.3,13.7,9.2,13.3,9.6,1593,9.6
RN,11.5,2.6,11.4,11.7,9.7,12.4,474,9.3
SC,12.3,5.6,4.8,9.0,17.2,2.5,3546,8.2
GO,0.0,4.6,2.8,8.1,13.5,3.8,1956,6.5
RS,1.7,0.7,4.1,9.1,13.7,2.6,5342,6.0
MT,9.5,4.7,1.8,8.7,11.9,2.1,886,6.0
DF,2.3,0.6,3.2,7.1,11.3,3.9,2080,5.7
MG,1.3,1.8,1.4,4.4,10.7,4.0,11353,4.6
SP,2.5,4.6,2.3,4.8,6.7,2.3,40481,4.5
PR,3.4,1.4,0.3,6.2,7.9,2.8,4923,4.0
AC,0.0,0.0,7.1,6.7,0.0,11.1,80,3.8
RO,7.1,4.0,0.0,0.0,8.7,0.0,243,2.9
AM,0.0,4.5,0.0,0.0,10.7,0.0,145,2.8
AP,25.0,0.0,0.0,0.0,0.0,0.0,66,1.5
