seller_id,seller_state,total_orders,total_revenue,avg_review,late_rate_pct,revenue_rank,revenue_percentile,cumulative_revenue_share_pct
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1117,227948.34,4.16,10.6,1,100.0,1.7
53243585a1d6dc2643021fd1853d8905,BA,348,217940.44,4.19,3.4,2,100.0,3.4
4a3ca9315b744ce9f8e9374361493884,SP,1726,198108.39,3.89,10.0,3,99.9,4.9
fa1c13f2614d7b5c4749cbc52fecda94,SP,571,190179.81,4.39,9.3,4,99.9,6.3
7c67e1448b00f6e969d365cea6b010ab,SP,965,185269.66,3.5,9.1,5,99.9,7.7
7e93a43ef30c4f03f38b393420bc753a,SP,317,165325.02,4.38,4.4,6,99.8,9.0
da8622b14eb17ae2831f4ac5b9dab84a,SP,1295,160976.27,4.19,6.7,7,99.8,10.2
7a67c85e85bb2ce8582c35f2203ad736,SP,1134,140456.14,4.3,5.2,8,99.8,11.2
1025f0e2d44d7041d6cf58b6550e0bfa,SP,898,138739.25,4.02,8.0,9,99.7,12.3
955fee9216a65b617aa5c0531780ce60,SP,1255,131943.4,4.21,6.1,10,99.7,13.3
46dc3b2cc0980fb8ec44634e21d2718e,RJ,500,122116.11,4.29,5.8,11,99.7,14.2
6560211a19b47992c3666cc44a7e94c0,SP,1808,121532.09,3.99,5.3,12,99.6,15.1
7d13fca15225358621be4086e1eb0964,SP,555,114174.13,4.05,11.5,13,99.6,16.0
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,720,112623.7,4.31,8.8,14,99.6,16.9
5dceca129747e92ff8ef7a997dc4f8ca,SP,321,110342.62,4.01,5.6,15,99.5,17.7
1f50f920176fa81dab994f9023523100,SP,1384,107302.29,4.16,9.0,16,99.5,18.5
cc419e0650a3c5ba77189a1882b7556a,SP,1648,102160.89,4.16,5.3,17,99.5,19.3
a1043bafd471dff536d0c462352beb48,MG,699,99676.47,4.28,5.0,18,99.4,20.0
3d871de0142ce09b7081e2b9d1733cb1,SP,1052,93580.9,4.2,5.5,19,99.4,20.7
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,79292.7,4.44,7.3,20,99.4,21.3
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,183,72745.62,4.34,6.6,21,99.3,21.9
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,216,68270.9,4.23,13.9,22,99.3,22.4
fe2032dab1a61af8794248c8196565c9,SP,292,66112.51,4.4,8.9,23,99.3,22.9
8581055ce74af1daba164fdbd55a40de,SP,377,63785.62,4.31,8.2,24,99.2,23.4
cca3071e3e9bb7d12640c9fbe2301306,SP,674,61473.02,3.94,4.6,25,99.2,23.9
04308b1ee57b6625f47df1d56f00eedf,SC,92,58991.8,3.95,7.6,26,99.2,24.3
522620dcb18a6b31cd7bdf73665113a9,PR,171,56631.39,3.92,8.8,27,99.1,24.7
de722cd6dad950a92b7d4f82673f8833,PE,337,55327.21,4.3,3.6,28,99.1,25.1
37be5a7c751166fbc5f8ccba4119e043,SP,269,54735.55,4.32,2.6,29,99.1,25.6
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,325,54655.56,4.03,8.3,30,99.0,26.0
17e34d8224d27a541263c4c64b11a56b,SP,246,54272.36,4.26,7.7,31,99.0,26.4
218d46b86c1881d022bce9c68a7d4b15,SP,376,53818.41,4.19,8.8,32,99.0,26.8
ceaec5548eefc6e23e6607c5435102e7,SP,197,51426.18,4.2,5.1,33,98.9,27.2
f5a590cf36251cf1162ea35bef76fe84,SP,113,51232.78,4.27,7.1,34,98.9,27.6
e882b2a25a10b9c057cc49695f222c19,RJ,57,51057.54,4.58,0.0,35,98.9,28.0
25c5c91f63607446a97b143d2d535d31,MG,148,50788.62,3.94,7.4,36,98.8,28.3
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,30,50628.9,4.17,6.7,37,98.8,28.7
f8db351d8c4c4c22c6835c19a46f01b0,SP,651,50007.37,4.29,4.3,38,98.7,29.1
b2ba3715d723d245138f291a6fe42594,SP,323,49366.59,4.21,6.8,39,98.7,29.5
17f51e7198701186712e53a39c564617,SP,55,46969.0,4.35,9.1,40,98.7,29.8
8160255418d5aaa7dbdc9f4c64ebda44,SP,368,45897.6,3.99,13.9,41,98.6,30.2
77530e9772f57a62c906e1c21538ab82,PR,305,45486.5,4.19,9.5,42,98.6,30.5
4e922959ae960d389249c378d1c939f5,SP,411,45363.41,3.96,9.0,43,98.6,30.9
850f4f8af5ea87287ac68de36e29107f,SP,185,45358.27,4.31,4.9,44,98.5,31.2
966cb4760537b1404caedd472cc610a5,SP,66,44969.26,4.11,3.0,45,98.5,31.5
c826c40d7b19f62a09e2d7c5e7295ee2,SP,345,44554.95,4.13,7.5,46,98.5,31.9
ba90964cff9b9e0e6f32b23b82465f7b,SP,38,44212.5,4.42,5.3,47,98.4,32.2
b33e7c55446eabf8fe1a42d037ac7d6d,SP,147,44007.01,4.22,11.6,48,98.4,32.6
eeb6de78f79159600292e314a77cbd18,SC,82,43510.84,4.44,3.7,49,98.4,32.9
b839e41795b7f3ad94cc2014a52f6796,SP,33,42829.0,4.09,3.0,50,98.3,33.2
